gene,log2FoldChange
mepS,-1.1280869882776987
yejG,1.5582948196796245
napB,-2.455165983804443
napH,-2.6768715411311246
napG,-2.2644934826917544
napA,-3.077089835651925
napF,-3.027811717234705
eco,1.3003442800811247
mqo,-2.297771837764552
ompC,-1.6866850275223293
nrdA,-2.997070606766338
yoaM,-2.51127425913249
nrdB,-2.3764034154297478
glpQ,-1.4752234827714616
glpT,-2.575347769355928
glpA,-4.799997103731216
glpB,-4.459529355633918
glpC,-4.441467681116588
ais,4.577151383087964
arnB,4.160678825780166
arnC,3.9574682885572847
arnA,3.7443504118739455
arnD,3.49879902561154
arnT,2.848199309333856
arnE,2.786449368548883
arnF,3.7930787783629225
pmrD,3.4193863787328773
menE,-1.556730474982266
menC,-1.522652817809174
menB,-1.6265322132279019
menH,-1.6956141305355708
menD,-1.7648664756446752
elaB,1.7604402691632761
nuoN,-2.085592002643884
nuoM,-2.1861851946742585
nuoL,-1.9985499571099459
nuoK,-2.1202303390738697
nuoJ,-1.7738424317262347
nuoI,-2.083692591843503
nuoH,-2.044463937198612
nuoG,-1.8855806454918258
nuoF,-1.5956176783380405
nuoE,-1.6004297857488932
nuoC,-1.6051227944213997
alaA,-1.965800127421127
ackA,-2.124912226493936
pta,-2.3003537628279482
hisJ,-1.3530041946407363
purF,-1.3266110168270087
yfcL,-1.319888729644235
yfcO,1.3395686904382047
sixA,2.239481780393972
yfcZ,-1.4336732073613463
fadL,-1.8566732677120166
yfdH,-1.2385794115051085
yfdI,-1.6313339924784436
yodE,1.5179234187402524
evgA,-3.360902586645768
evgS,-2.7292415638040226
glk,2.3279169429709867
yfeO,4.437770308012577
nupC,-2.309848844058175
alaX,3.8507543262194996
alaW,3.8507543262194996
gltX,-1.4770573078436016
valU,3.1338538973392893
valX,3.1338538973392893
valY,3.1338538973392893
lysV,3.104336853720459
yfeH,-1.6336555236558419
ptsH,-2.1526410328662484
ptsI,-2.0997412255095647
crr,-1.3690152625271421
yfeK,2.2672164850937198
cysM,-1.3866819590216075
maeB,-1.2133807359303777
tktB,1.361184987167337
ypfG,1.8736541711104244
ypfM,-1.3275055752320037
yffB,1.2693692646783736
purC,-1.335644029036907
gcvR,-1.1656860232088642
uraA,-3.270062242194941
upp,-2.0801513455112324
purN,-1.4244118218687498
ryfA,1.6011762132061194
pepB,1.202186436778402
iscX,1.2891384485833899
fdx,1.9705116393909448
hscA,2.060843385938933
iscU,1.282481613455057
iscS,1.4262154312746627
iscR,1.7185595835513123
glyA,-2.3371092696057576
glmY,1.7766007363682406
purL,-1.5015504125811687
mltF,2.081584280751955
tadA,2.9689229155465453
pgpC,4.298787108807565
yfhL,1.4726577428848675
shoB,2.1666129228688074
ohsC,1.3988753558025402
rseC,1.2641375977693117
rseB,1.1550494938479339
rseA,1.6637285907384747
rpoE,2.0318766529558254
nadB,-3.6287620908171614
grcA,-3.9235984972413234
yfiS,3.2191318386722876
gltW,2.8908726714775828
raiA,-1.3787014042850703
pheL,-1.5193687324281298
pheA,-1.4939785409489297
rplS,1.3240234163165183
rnlB,1.4567220482076393
kbp,2.081461736471366
stpA,-2.1432104175325204
alaE,1.3938592981193756
nrdH,-3.534483573060491
nrdI,-3.6546889333754393
nrdE,-3.506227437129774
nrdF,-3.612388955027638
proX,-1.6292222938473548
ygaH,-1.1838338453125268
mprA,-1.3766333541720794
emrA,-1.2615019700083965
micA,-2.114829385659924
serV,2.9271022221641267
alaS,-1.1585175752608772
srlR,-1.494416565924326
hypA,-2.1799519048429032
hypB,-2.1704786381150156
hypD,-1.4102768209355827
rpoS,1.4897960615561014
cysN,-1.2987625247771533
cysD,-1.261193034734061
casE,1.9789870675306964
cysI,-1.3445088365406812
cysJ,-1.4254676885794222
ygcN,3.2358800291117102
queE,3.0210957849443805
eno,-1.3441255925458393
pyrG,-1.3405413736137526
ppnN,-1.9510550555981747
sdaC,-3.5823106385154593
sdaB,-3.6779101480266934
gcvB,1.6561094133525653
ygdI,1.9593492759747249
metZ,4.196673617059578
metW,4.196673617059578
metV,4.196673617059578
amiC,2.039566896783064
thyA,-1.6199936465737659
lgt,-1.1816737748902602
mutH,1.7031612305582449
ygdR,4.274536687163121
lysA,1.5196252501211156
yqeF,1.5585170433418123
glyU,1.6289287716227188
lysS,-1.6716793376293124
prfB,-1.3189979851893696
bglA,1.930156705274328
gcvP,-3.282452443957331
gcvH,-3.0309610300507543
gcvT,-3.019855136416692
pepP,-1.2300470819023899
sibC,2.2364624793771912
serA,-3.0305497289244245
fbaA,-1.9957322711747107
pgk,-1.8692444272648063
epd,-1.960600561607496
tktA,-1.2374836137193423
speA,-1.231911853042254
yqgB,-1.3098624190075203
rsmE,-1.6247814749742626
gshB,-1.530395369621491
ansB,-1.8419784182843755
yqgH,1.4452584288043475
yghE,1.5087695964184615
yghG,-2.9947963271593547
glcE,2.40762904202337
glcD,2.786897667877735
gss,-1.540507836813846
hybO,-1.763671112454103
yqhI,2.601783035731837
yqhA,1.501745052630571
exbD,-1.7948164425641104
exbB,-1.6598051943940326
yqhD,-1.4047070656843073
ygiS,1.4718697088334518
mqsA,2.68593724775351
mqsR,2.6469752968584763
ygiV,1.9738696741658166
ygiW,2.3014376484440584
mdaB,1.8859748756637835
parE,-1.2419770913950954
tolC,1.2482209580189174
glgS,1.8814250297120687
ttdR,-2.2799294998819826
ileX,-2.350457752965905
nfeF,-2.5457691467436163
sstT,-2.0192759029948104
ubiU,-3.465698133210433
ubiV,-2.3004093689821867
mtr,-1.8157874400425686
yrbN,1.3658918145660568
sraG,3.2945255338074495
rpsO,-1.6266172189245964
metY,3.8131919810752923
secG,3.4800491734413104
glmM,-1.3128713943932886
obgE,1.278240862355451
